name,color,variation,pgn,white_masters,draws_masters,black_masters,total_masters,white_lichess,draws_lichess,black_lichess,total_lichess
Caro-Kann,black,nan,1. e4 c6,33,43,24,89311,47,4,49,165194223
Caro-Kann,black,Advance Variation,1. e4 c6 2. d4 d5 3. e5,35,43,23,25833,48,4,48,26675141
Caro-Kann,black,Exchange Variation,1. e4 c6 2. d4 d5 3. exd5,30,44,26,14477,47,5,48,20507217
Caro-Kann,black,Panov Attack,1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4,31,45,24,10656,50,5,45,5770574
Caro-Kann,black,Classical Variation,1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bf5,27,50,23,15555,50,5,45,6406421
Caro-Kann,black,Fantasy Variation,1. e4 c6 2. d4 d5 3. f3,38,32,30,1990,52,4,44,2346725
Caro-Kann,black,Two Knights Attack,1. e4 c6 2. Nc3 d5 3. Nf3,33,41,27,7142,49,4,47,9128679
Caro-Kann,black,Karpov Variation,1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7,32,47,21,6628,48,6,46,1687587
Caro-Kann,black,Korchnoi Variation,1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Nxf6+ exf6,30,44,25,2622,47,6,47,2667790
Caro-Kann,black,Bronstein-Larsen Variation,1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Nxf6+ gxf6,42,36,23,1878,48,6,46,563793
Ruy Lopez,white,nan,1. e4 e5 2. Nf3 Nc6 3. Bb5,30,51,19,135315,51,4,44,93310113
Ruy Lopez,white,Berlin Defense,1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6,23,61,16,25485,52,4,44,19128836
Ruy Lopez,white,Exchange Variation,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6,27,52,21,9445,50,5,45,9918021
Ruy Lopez,white,Marshall Attack,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5,17,71,12,4200,42,5,54,615255
Ruy Lopez,white,Arkhangelsk Variation,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O b5 6. Bb3 Bb7,31,49,20,4295,51,4,45,189418
Ruy Lopez,white,Chigorin Defense,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 d6 8. c3 O-O 9. h3 Na5,36,48,17,9457,50,5,45,310474
Ruy Lopez,white,Breyer Defense,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 d6 8. c3 O-O 9. h3 Nb8,29,55,17,7212,47,6,46,112466
French Defense,black,nan,1. e4 e6,35,40,24,137866,48,4,48,262198903
French Defense,black,Exchange Variation,1. e4 e6 2. d4 d5 3. exd5,20,56,25,7189,48,5,47,25526574
French Defense,black,Tarrasch Variation,1. e4 e6 2. d4 d5 3. Nd2,36,42,22,40768,51,5,44,8261368
French Defense,black,Winawer Variation,1. e4 e6 2. d4 d5 3. Nc3 Bb4,38,38,25,29510,49,5,46,5020879
French Defense,black,Rubinstein Variation,1. e4 e6 2. d4 d5 3. Nc3 dxe4,37,48,15,5096,51,5,44,5949735
French Defense,black,Steinitz Variation,1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5,36,44,21,13419,49,4,47,4426878
French Defense,black,Advance Variation,1. e4 e6 2. d4 d5 3. e5,36,34,30,12945,47,4,50,34666803
French Defense,black,Burn Variation,1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5,32,45,23,13336,51,5,44,3274487
Sicilian Defense,black,nan,1. e4 c5,32,42,26,526909,48,4,48,473538737
Sicilian Defense,black,Accelerated Dragon,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6,34,43,23,12602,47,5,49,9548146
Sicilian Defense,black,Prins Variation,1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. f3,34,44,22,2919,51,6,44,832875
Sicilian Defense,black,Alapin Variation,1. e4 c5 2. c3,29,43,28,34545,50,4,46,22488100
Sicilian Defense,black,Grand Prix Attack,1. e4 c5 2. Nc3 Nc6 3. f4,28,35,37,4010,51,4,45,4352152
Sicilian Defense,black,Najdorf Variation,1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6,28,49,22,106687,47,4,48,17642884
Sicilian Defense,black,Kan Variation,1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6,35,35,30,30375,44,4,52,7159568
Sicilian Defense,black,Kramnik Variation,1. e4 c5 2. Nf3 e6 3. c4,30,40,30,2281,48,5,48,1524059
Sicilian Defense,black,Smith-Morra Gambit,1. e4 c5 2. d4,27,37,36,3011,49,4,48,40607632
Sicilian Defense,black,Taimanov Variation,1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6,33,40,27,30814,47,4,48,10756615
Sicilian Defense,black,Rossolimo Attack,1. e4 c5 2. Nf3 Nc6 3. Bb5,35,42,23,31477,50,4,46,13139138
Sicilian Defense,black,Dragon Variation,1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6,39,37,24,18455,46,5,49,6596305
Sicilian Defense,black,Scheveningen Variation,1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6,37,35,28,14644,47,4,49,2009779
Sicilian Defense,black,Nimzowitsch Variation,1. e4 c5 2. Nf3 Nf6,37,38,25,3236,49,4,47,2756660
Sicilian Defense,black,Kalashnikov Variation,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 e5 5. Nb5 d6,33,42,25,6523,50,5,46,2280565
Sicilian Defense,black,O'Kelly Variation,1. e4 c5 2. Nf3 a6,36,35,30,4091,47,4,49,5094168
Sicilian Defense,black,Hyperaccelerated Dragon,1. e4 c5 2. Nf3 g6,37,38,25,9399,47,4,49,11714719
Sicilian Defense,black,Sveshnikov Variation,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5,25,57,18,24966,47,5,47,3655277
Sicilian Defense,black,Richter-Rauzer Variation,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 d6 6. Bg5,37,38,26,22020,49,5,46,918799
Sicilian Defense,black,Moscow Variation,1. e4 c5 2. Nf3 d6 3. Bb5+,28,47,25,23143,49,5,46,5697321
Italian Game,white,nan,1. e4 e5 2. Nf3 Nc6 3. Bc4,31,45,24,35674,51,4,45,177394201
Italian Game,white,Evans Gambit,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. b4,30,39,31,1461,53,3,44,5079380
Italian Game,white,Knight Attack,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5,36,38,26,2631,54,3,43,21874199
Italian Game,white,Deutz Gambit,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. O-O Nf6 5. d4,29,34,37,389,59,3,38,1431983
Italian Game,white,Fried Liver Attack,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Nxd5 6. Nxf7,53,18,29,17,69,3,28,3571205
Italian Game,white,Traxler Counterattack,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 Bc5,45,34,21,128,49,3,49,3000579
Italian Game,white,Modern Bishop's Opening,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. d3,33,43,24,12339,51,4,45,19270922
Italian Game,white,Hungarian Defense,1. e4 e5 2. Nf3 Nc6 3. Bc4 Be7,42,36,22,956,48,4,47,5607369
Italian Game,white,Classical Variation,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3,27,51,22,10834,52,4,44,16094761
King's Gambit,white,nan,1. e4 e5 2. f4,30,34,36,4589,53,3,44,64160779
King's Gambit,white,Fischer Defense,1. e4 e5 2. f4 exf4 3. Nf3 d6,27,29,44,402,54,3,43,5072873
King's Gambit,white,Modern Defense,1. e4 e5 2. f4 exf4 3. Nf3 d5,29,43,28,342,51,3,45,2710632
King's Gambit,white,Kieseritzky Gambit,1. e4 e5 2. f4 exf4 3. Nf3 g5 4. h4 g4 5. Ne5,25,39,36,387,51,3,46,344167
King's Gambit,white,Muzio Gambit,1. e4 e5 2. f4 exf4 3. Nf3 g5 4. Bc4 g4 5. O-O,35,16,49,43,56,2,41,365523
King's Gambit,white,Bishop's Gambit,1. e4 e5 2. f4 exf4 3. Bc4,28,35,38,765,55,3,42,1780193
King's Gambit,white,Falkbeer Countergambit,1. e4 e5 2. f4 d5,36,34,30,806,47,3,49,5743319
King's Gambit,white,Classical Variation,1. e4 e5 2. f4 Bc5,35,30,35,505,50,3,47,2350240
Pirc Defense,black,nan,1. e4 d6,38,36,26,41500,49,4,47,92142670
Pirc Defense,black,Austrian Attack,1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4,37,38,25,4840,52,4,44,1882735
Pirc Defense,black,Classical Variation,1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3,33,44,24,5368,48,4,47,6402164
Pirc Defense,black,150 Attack,1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 c6 5. Qd2,44,32,24,1206,47,4,48,57762
Pirc Defense,black,Byrne Variation,1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5,44,32,24,1898,52,4,44,1774670
Pirc Defense,black,Sveshnikov System,1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. g3,36,38,26,1523,50,6,45,129071
Pirc Defense,black,Kholmov System,1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bc4,34,34,31,262,49,4,47,801609
Modern Defense,black,nan,1. e4 g6,37,33,30,32758,48,4,48,85955330
Modern Defense,black,Three Pawns Attack,1. e4 g6 2. d4 Bg7 3. f4,33,29,38,387,49,4,47,2741712
Modern Defense,black,Bishop Attack,1. e4 g6 2. d4 Bg7 3. Bc4,34,34,33,158,49,3,47,1148634
Modern Defense,black,Averbakh System,1. e4 g6 2. d4 Bg7 3. c4 d6 4. Nc3,39,34,27,8797,49,4,47,4431680
Modern Defense,black,Standard Line,1. e4 g6 2. d4 Bg7 3. Nc3,38,32,30,22516,52,4,44,9146139
Alekhine Defense,black,nan,1. e4 Nf6,37,37,26,20221,48,4,48,52658904
Alekhine Defense,black,Two Pawns Attack,1. e4 Nf6 2. e5 Nd5 3. c4,34,34,32,1515,48,4,48,6408715
Alekhine Defense,black,Four Pawns Attack,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4,42,31,27,1097,45,4,51,1652582
Alekhine Defense,black,Balogh Variation,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Bc4,37,32,30,394,47,4,49,400716
Alekhine Defense,black,Exchange Variation,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. exd6,39,36,25,3682,47,5,48,2781924
Alekhine Defense,black,Modern Variation,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3,39,39,22,9428,48,5,47,1719566
Scandinavian Defense,black,nan,1. e4 d5,39,37,24,23010,49,4,47,265226034
Scandinavian Defense,black,Main Line,1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5,39,37,24,7325,48,4,48,24352534
Scandinavian Defense,black,Valencian Variation,1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8,39,39,22,1271,50,4,46,34192723
Scandinavian Defense,black,Gubinsky-Melts Defense,1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6,36,40,24,5400,49,4,47,7548921
Scandinavian Defense,black,Modern Variation,1. e4 d5 2. exd5 Nf6,41,34,24,6713,47,4,49,32937377
Petrov Defense,black,nan,1. e4 e5 2. Nf3 Nf6,28,59,13,27770,51,4,45,82491756
Petrov Defense,black,Classical Attack,1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4 5. d4,27,63,10,9968,51,6,43,1346169
Petrov Defense,black,Nimzowitsch Attack,1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4 5. Nc3,28,61,12,4755,52,6,42,1008789
Petrov Defense,black,Cozio Attack,1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4 5. Qe2,10,82,8,1688,49,6,45,1803132
Petrov Defense,black,Cochrane Gambit,1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nxf7,35,28,37,153,51,3,46,551341
Petrov Defense,black,Karklins-Martinovsky Variation,1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nd3,25,62,13,123,47,5,48,200067
Petrov Defense,black,Modern Attack,1. e4 e5 2. Nf3 Nf6 3. d4,32,55,13,4911,53,4,44,6103857
Petrov Defense,black,Three Knights Game,1. e4 e5 2. Nf3 Nf6 3. Nc3,31,50,20,4162,51,4,45,34710503
Scotch Game,white,nan,1. e4 e5 2. Nf3 Nc6 3. d4,30,45,25,19530,53,4,43,70178063
Scotch Game,white,Scotch Gambit,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4,26,41,33,2330,55,4,42,11209480
Scotch Game,white,Göring Gambit,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. c3,32,35,33,687,55,3,41,3127432
Scotch Game,white,Steinitz Variation,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Qh4,44,28,28,266,43,5,53,873504
Scotch Game,white,Classical Variation,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5,32,44,24,6730,49,4,47,9136048
Scotch Game,white,Schmidt Variation,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Nf6,27,50,23,7318,47,5,48,5701053
